Family,IP Address,Port Number,Hosting Range,Domain Name,Second Level,Last Seen
redline,37.1.36.185,1912,37.1.0.0/18,,,2024-05-10
nanocore,192.169.69.25,1896,192.169.68.0/22,nickdns26.duckdns.org,duckdns.org,2024-05-10
lokibot,34.29.71.138,80,34.16.0.0/12,lapphuongshoe.com,lapphuongshoe.com,2024-05-10
lokibot,154.41.233.100,80,154.41.224.0/20,edulinkr.com,edulinkr.com,2024-05-10
lokibot,138.201.55.20,80,138.201.0.0/16,kammies.co.za,co.za,2024-05-10
lokibot,31.220.2.120,80,31.220.0.0/22,,,2024-05-10
lokibot,195.123.211.210,80,195.123.208.0/21,,,2024-05-10
njrat,46.246.82.10,2054,46.246.64.0/18,ecuaecua.duckdns.org,duckdns.org,2024-05-09
njrat,105.154.96.186,10000,105.154.0.0/16,doddyfire.linkpc.net,linkpc.net,2024-05-09
redline,23.227.196.15,23461,23.227.196.0/25,,,2024-05-09
njrat,104.250.172.89,1177,104.250.172.0/24,levantain.ddns.net,ddns.net,2024-05-09
njrat,3.127.138.57,17751,3.120.0.0/13,2.tcp.eu.ngrok.io,ngrok.io,2024-05-09
redline,178.159.39.40,19667,178.159.38.0/23,,,2024-05-09
lokibot,172.67.197.72,80,172.67.0.0/16,meridianresourcellc.top,meridianresourcellc.top,2024-05-09
njrat,51.158.202.242,443,51.158.0.0/16,asra1.ddns.net,ddns.net,2024-05-09
njrat,3.67.161.133,14420,3.64.0.0/12,5.tcp.eu.ngrok.io,ngrok.io,2024-05-09
njrat,18.158.58.205,14420,18.156.0.0/14,5.tcp.eu.ngrok.io,ngrok.io,2024-05-09
njrat,3.67.62.142,14420,3.64.0.0/12,5.tcp.eu.ngrok.io,ngrok.io,2024-05-09
njrat,18.192.31.165,11168,18.192.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-05-09
njrat,3.125.223.134,11168,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-05-09
njrat,41.249.40.69,10000,41.249.0.0/17,doddyfire.linkpc.net,linkpc.net,2024-05-08
njrat,192.169.69.25,1177,192.169.68.0/22,windowsuport.duckdns.org,duckdns.org,2024-05-08
nanocore,192.169.69.26,61715,192.169.68.0/22,december2n.duckdns.org,duckdns.org,2024-05-08
redline,15.165.134.129,8649,15.164.0.0/15,,,2024-05-08
njrat,147.185.221.19,47021,147.185.221.0/24,,,2024-05-08
lokibot,104.21.35.239,80,104.21.0.0/17,seadrill.top,seadrill.top,2024-05-08
redline,5.42.65.96,28380,5.42.64.0/22,,,2024-05-07
lokibot,91.92.253.228,80,91.92.240.0/20,,,2024-05-07
lokibot,192.169.69.25,80,192.169.68.0/22,djanic.duckdns.org,duckdns.org,2024-05-06
njrat,196.65.165.110,10000,196.64.0.0/15,doddyfire.linkpc.net,linkpc.net,2024-05-06
redline,20.100.11.101,42074,20.96.0.0/11,,,2024-05-06
redline,45.89.53.206,4663,45.89.52.0/22,,,2024-05-06
njrat,147.185.221.18,46584,147.185.221.0/24,few-madrid.gl.at.ply.gg,ply.gg,2024-05-06
njrat,5.39.43.50,1337,5.39.0.0/17,,,2024-05-05
nanocore,209.25.141.212,32243,209.25.140.0/22,july-pty.at.ply.gg,ply.gg,2024-05-05
nanocore,3.124.142.205,11720,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-05-05
nanocore,18.192.31.165,11720,18.192.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-05-05
nanocore,18.158.249.75,11720,18.156.0.0/14,0.tcp.eu.ngrok.io,ngrok.io,2024-05-05
nanocore,3.125.102.39,11720,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-05-05
nanocore,3.125.223.134,11720,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-05-05
nanocore,3.125.209.94,11720,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-05-05
lokibot,8.29.155.251,80,8.29.152.0/22,custom-packaging-products.com,custom-packaging-products.com,2024-05-05
njrat,35.157.111.131,14964,35.156.0.0/14,7.tcp.eu.ngrok.io,ngrok.io,2024-05-04
njrat,3.125.188.168,14964,3.120.0.0/13,7.tcp.eu.ngrok.io,ngrok.io,2024-05-04
lokibot,94.156.65.182,80,94.156.64.0/21,,,2024-05-04
redline,109.120.178.235,26632,109.120.176.0/22,,,2024-05-03
redline,45.15.156.142,33597,45.15.156.0/24,,,2024-05-03
njrat,46.246.80.19,1994,46.246.64.0/18,patria.duckdns.org,duckdns.org,2024-05-03
njrat,147.185.221.19,42294,147.185.221.0/24,reviews-christians.gl.at.ply.gg,ply.gg,2024-05-02
redline,45.15.156.167,80,45.15.156.0/24,,,2024-05-02
redline,194.36.178.33,37732,194.36.178.0/23,,,2024-05-02
njrat,147.185.221.19,39289,147.185.221.0/24,teaching-wireless.gl.at.ply.gg,ply.gg,2024-05-02
njrat,184.105.237.195,5553,184.105.236.0/23,nandos.hopto.org,hopto.org,2024-05-02
redline,147.45.47.65,47232,147.45.47.0/24,,,2024-05-01
lokibot,104.21.13.124,80,104.21.0.0/17,ebnsina.top,ebnsina.top,2024-05-01
lokibot,172.67.167.246,80,172.67.0.0/16,ebnsina.top,ebnsina.top,2024-05-01
njrat,18.192.31.165,12194,18.192.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-04-30
redline,185.215.113.117,30711,185.215.113.0/24,,,2024-04-30
redline,91.92.249.182,34419,91.92.240.0/20,,,2024-04-30
redline,195.20.16.134,46690,195.20.16.0/24,,,2024-04-30
lokibot,18.119.155.254,80,18.116.0.0/14,justloki.com,justloki.com,2024-04-30
lokibot,18.189.229.254,80,18.188.0.0/14,justloki.com,justloki.com,2024-04-30
njrat,45.141.215.185,7777,45.141.215.0/24,berlyn777.con-ip.com,con-ip.com,2024-04-29
njrat,147.185.221.19,39209,147.185.221.0/24,analysis-minolta.gl.at.ply.gg,ply.gg,2024-04-29
lokibot,67.227.226.240,80,67.227.128.0/17,apolovapers.com,apolovapers.com,2024-04-29
recordbreaker,91.92.255.182,80,91.92.240.0/20,,,2024-04-29
nanocore,192.169.69.26,64418,192.169.68.0/22,december2n.duckdns.org,duckdns.org,2024-04-29
njrat,178.128.228.252,5552,178.128.0.0/16,asero23.ddns.net,ddns.net,2024-04-28
njrat,18.192.31.165,10266,18.192.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-04-28
lokibot,34.174.78.212,80,34.168.0.0/13,blesblochem.com,blesblochem.com,2024-04-28
njrat,147.185.221.19,17455,147.185.221.0/24,green-morrison.gl.at.ply.gg,ply.gg,2024-04-27
njrat,147.185.221.19,17455,147.185.221.0/24,artist-composed.gl.at.ply.gg,ply.gg,2024-04-27
njrat,147.185.221.19,28632,147.185.221.0/24,artist-composed.gl.at.ply.gg,ply.gg,2024-04-27
njrat,147.185.221.19,36969,147.185.221.0/24,phentermine-partial.gl.at.ply.gg,ply.gg,2024-04-27
njrat,160.176.159.27,10000,160.176.0.0/14,doddyfire.linkpc.net,linkpc.net,2024-04-26
njrat,3.124.67.191,10250,3.120.0.0/13,7.tcp.eu.ngrok.io,ngrok.io,2024-04-26
nanocore,192.169.69.25,5654,192.169.68.0/22,craftedfollowing.duckdns.org,duckdns.org,2024-04-26
njrat,46.246.84.16,1994,46.246.64.0/18,rusia.duckdns.org,duckdns.org,2024-04-26
njrat,46.246.86.14,1994,46.246.64.0/18,rusia.duckdns.org,duckdns.org,2024-04-25
redline,5.42.92.179,18418,5.42.92.0/24,,,2024-04-25
redline,193.233.132.169,37732,193.233.132.0/24,,,2024-04-25
lokibot,57.128.52.136,80,57.128.0.0/16,flypadi.com,flypadi.com,2024-04-25
nanocore,45.95.169.113,4190,45.95.168.0/22,amechi.duckdns.org,duckdns.org,2024-04-25
nanocore,45.95.169.113,3190,45.95.168.0/22,amechi.duckdns.org,duckdns.org,2024-04-25
njrat,82.205.72.17,8080,82.205.0.0/17,aboft7e.ddns.net,ddns.net,2024-04-25
njrat,45.32.168.59,6363,45.32.0.0/16,powerup.dynuddns.net,dynuddns.net,2024-04-25
njrat,41.249.109.159,10000,41.249.0.0/17,doddyfire.linkpc.net,linkpc.net,2024-04-24
njrat,3.125.102.39,12143,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-04-24
njrat,18.158.249.75,12143,18.156.0.0/14,0.tcp.eu.ngrok.io,ngrok.io,2024-04-24
njrat,3.125.223.134,12143,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-04-24
njrat,18.192.31.165,12143,18.192.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-04-24
njrat,3.121.139.82,12138,3.120.0.0/13,4.tcp.eu.ngrok.io,ngrok.io,2024-04-24
redline,103.113.70.99,2630,103.113.68.0/22,,,2024-04-24
njrat,46.246.84.12,1994,46.246.64.0/18,rusia.duckdns.org,duckdns.org,2024-04-24
nanocore,146.70.198.22,60129,146.70.192.0/20,,,2024-04-24
njrat,46.246.14.10,1994,46.246.12.0/22,patria.duckdns.org,duckdns.org,2024-04-24
lokibot,185.182.56.12,80,185.182.56.0/22,mypony.nl,mypony.nl,2024-04-23
njrat,46.246.14.10,1994,46.246.12.0/22,rusia.duckdns.org,duckdns.org,2024-04-23
njrat,192.169.69.25,5552,192.169.68.0/22,d3co4r.duckdns.org,duckdns.org,2024-04-23
nanocore,3.6.30.85,10651,3.6.0.0/15,0.tcp.in.ngrok.io,ngrok.io,2024-04-23
nanocore,3.6.122.107,10651,3.6.0.0/15,0.tcp.in.ngrok.io,ngrok.io,2024-04-23
nanocore,3.6.98.232,10651,3.6.0.0/15,0.tcp.in.ngrok.io,ngrok.io,2024-04-23
nanocore,3.6.115.182,10651,3.6.0.0/15,0.tcp.in.ngrok.io,ngrok.io,2024-04-23
nanocore,3.6.98.232,15030,3.6.0.0/15,0.tcp.in.ngrok.io,ngrok.io,2024-04-23
nanocore,3.6.30.85,15030,3.6.0.0/15,0.tcp.in.ngrok.io,ngrok.io,2024-04-23
nanocore,3.6.122.107,15030,3.6.0.0/15,0.tcp.in.ngrok.io,ngrok.io,2024-04-23
nanocore,3.6.115.182,15030,3.6.0.0/15,0.tcp.in.ngrok.io,ngrok.io,2024-04-23
nanocore,3.6.115.64,15030,3.6.0.0/15,0.tcp.in.ngrok.io,ngrok.io,2024-04-23
redline,87.121.105.175,14845,87.121.105.0/24,,,2024-04-23
nanocore,91.92.245.231,64418,91.92.240.0/20,december2nd.ddns.net,ddns.net,2024-04-23
redline,91.92.241.122,39361,91.92.240.0/20,,,2024-04-23
njrat,41.200.95.182,5552,41.200.0.0/16,wscript.ddns.net,ddns.net,2024-04-22
redline,91.92.250.88,16964,91.92.240.0/20,,,2024-04-22
redline,4.184.225.183,30592,4.160.0.0/11,,,2024-04-22
njrat,46.246.6.20,1994,46.246.4.0/22,patria.duckdns.org,duckdns.org,2024-04-22
njrat,46.246.6.20,1994,46.246.4.0/22,rusia.duckdns.org,duckdns.org,2024-04-22
njrat,179.14.8.182,2009,179.12.0.0/14,resilencia2023.duckdns.org,duckdns.org,2024-04-22
redline,5.42.65.50,33080,5.42.64.0/22,,,2024-04-22
njrat,192.169.69.26,35888,192.169.68.0/22,njnjnjs.duckdns.org,duckdns.org,2024-04-22
njrat,3.14.182.203,16969,3.8.0.0/13,0.tcp.ngrok.io,ngrok.io,2024-04-22
njrat,3.13.191.225,16969,3.8.0.0/13,0.tcp.ngrok.io,ngrok.io,2024-04-22
njrat,3.17.7.232,16969,3.16.0.0/13,0.tcp.ngrok.io,ngrok.io,2024-04-22
lokibot,176.223.110.10,80,176.223.110.0/24,ecurs.ro,ecurs.ro,2024-04-21
njrat,147.185.221.19,32934,147.185.221.0/24,quotes-nl.gl.at.ply.gg,ply.gg,2024-04-21
nanocore,91.92.245.231,56648,91.92.240.0/20,discoveryvipshinjiru2law.ooguy.com,ooguy.com,2024-04-20
lokibot,35.213.200.121,80,35.213.128.0/17,www.rnofinancial.com.au,com.au,2024-04-20
njrat,18.158.249.75,19177,18.156.0.0/14,0.tcp.eu.ngrok.io,ngrok.io,2024-04-20
njrat,18.192.31.165,19177,18.192.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-04-20
njrat,147.185.221.19,32481,147.185.221.0/24,other-tours.gl.at.ply.gg,ply.gg,2024-04-20
njrat,147.185.221.17,58503,147.185.221.0/24,basic-values.gl.at.ply.gg,ply.gg,2024-04-20
njrat,83.196.78.85,8080,83.192.0.0/13,,,2024-04-20
nanocore,192.169.69.26,1177,192.169.68.0/22,backupnew.duckdns.org,duckdns.org,2024-04-20
lokibot,192.169.69.26,80,192.169.68.0/22,abixmaly.duckdns.org,duckdns.org,2024-04-20
njrat,3.124.142.205,14390,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-04-20
njrat,3.125.102.39,14390,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-04-20
njrat,3.125.209.94,14390,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-04-20
njrat,3.125.209.94,10543,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-04-20
njrat,18.192.31.165,10543,18.192.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-04-20
njrat,3.125.102.39,10543,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-04-20
lokibot,91.92.253.228,80,91.92.240.0/20,tequilacofradiamx.com,tequilacofradiamx.com,2024-04-19
njrat,3.124.142.205,13241,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-04-19
njrat,3.125.102.39,13241,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-04-19
njrat,3.125.102.39,18335,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-04-19
njrat,3.125.223.134,18335,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-04-19
njrat,18.158.249.75,18335,18.156.0.0/14,0.tcp.eu.ngrok.io,ngrok.io,2024-04-19
njrat,20.206.240.63,1024,20.204.0.0/14,,,2024-04-19
njrat,3.125.223.134,15422,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-04-19
njrat,18.192.31.165,15422,18.192.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-04-19
njrat,18.158.249.75,15422,18.156.0.0/14,0.tcp.eu.ngrok.io,ngrok.io,2024-04-19
njrat,46.246.84.16,1994,46.246.64.0/18,patria.duckdns.org,duckdns.org,2024-04-19
njrat,3.125.102.39,17888,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-04-19
njrat,18.158.249.75,17888,18.156.0.0/14,0.tcp.eu.ngrok.io,ngrok.io,2024-04-19
njrat,3.125.223.134,17888,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-04-19
njrat,46.246.12.3,2552,46.246.12.0/22,alma27.duckdns.org,duckdns.org,2024-04-19
njrat,46.246.12.11,2054,46.246.12.0/22,nuevosecua.duckdns.org,duckdns.org,2024-04-19
njrat,196.74.150.120,10000,196.74.0.0/15,doddyfire.linkpc.net,linkpc.net,2024-04-19
lokibot,203.159.80.211,80,203.159.80.0/24,,,2024-04-19
lokibot,192.236.162.239,80,192.236.160.0/22,,,2024-04-19
redline,209.126.11.251,31618,209.126.0.0/20,,,2024-04-19
lokibot,103.92.235.29,80,103.92.235.0/24,skscarsrjn.in,skscarsrjn.in,2024-04-19
lokibot,104.237.252.28,80,104.237.252.0/22,sempersim.su,sempersim.su,2024-04-19
njrat,3.125.223.134,15296,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-04-19
njrat,18.158.249.75,15296,18.156.0.0/14,0.tcp.eu.ngrok.io,ngrok.io,2024-04-19
njrat,3.124.142.205,15296,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-04-19
njrat,46.246.14.17,1994,46.246.12.0/22,patria.duckdns.org,duckdns.org,2024-04-19
njrat,3.125.102.39,17393,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-04-18
njrat,18.158.249.75,17393,18.156.0.0/14,0.tcp.eu.ngrok.io,ngrok.io,2024-04-18
njrat,3.125.209.94,17393,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-04-18
njrat,191.233.27.50,5552,191.232.0.0/13,dzn.ddns.net,ddns.net,2024-04-18
njrat,45.77.154.40,1177,45.76.0.0/15,ronymahmoud.casacam.net,casacam.net,2024-04-18
njrat,46.246.14.17,1994,46.246.12.0/22,rusia.duckdns.org,duckdns.org,2024-04-18
nanocore,3.127.181.115,15464,3.120.0.0/13,5.tcp.eu.ngrok.io,ngrok.io,2024-04-18
nanocore,3.67.62.142,15464,3.64.0.0/12,5.tcp.eu.ngrok.io,ngrok.io,2024-04-18
nanocore,3.67.112.102,15464,3.64.0.0/12,5.tcp.eu.ngrok.io,ngrok.io,2024-04-18
nanocore,3.64.4.198,15464,3.64.0.0/12,5.tcp.eu.ngrok.io,ngrok.io,2024-04-18
nanocore,3.67.161.133,15464,3.64.0.0/12,5.tcp.eu.ngrok.io,ngrok.io,2024-04-18
nanocore,93.123.39.100,8763,93.123.39.0/24,mup830634.duckdns.org,duckdns.org,2024-04-18
njrat,46.246.14.22,1994,46.246.12.0/22,patria.duckdns.org,duckdns.org,2024-04-17
njrat,18.192.31.165,12607,18.192.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-04-17
njrat,3.125.102.39,12607,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-04-17
njrat,3.124.142.205,12607,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-04-17
njrat,3.126.37.18,15020,3.120.0.0/13,2.tcp.eu.ngrok.io,ngrok.io,2024-04-17
redline,45.15.156.127,48665,45.15.156.0/24,,,2024-04-17
njrat,147.185.221.19,26628,147.185.221.0/24,returns-vary.gl.at.ply.gg,ply.gg,2024-04-17
njrat,147.185.221.17,80,147.185.221.0/24,bit-number.gl.at.ply.gg,ply.gg,2024-04-17
njrat,147.185.221.19,29750,147.185.221.0/24,require-spa.gl.at.ply.gg,ply.gg,2024-04-17
lokibot,192.236.162.234,80,192.236.160.0/22,,,2024-04-17
njrat,147.185.221.19,29545,147.185.221.0/24,cars-fraction.gl.at.ply.gg,ply.gg,2024-04-16
njrat,147.185.221.19,29058,147.185.221.0/24,tue-jake.gl.at.ply.gg,ply.gg,2024-04-16
njrat,3.13.191.225,19044,3.8.0.0/13,0.tcp.ngrok.io,ngrok.io,2024-04-16
njrat,3.14.182.203,19044,3.8.0.0/13,0.tcp.ngrok.io,ngrok.io,2024-04-16
njrat,3.134.125.175,19044,3.128.0.0/12,0.tcp.ngrok.io,ngrok.io,2024-04-16
njrat,147.185.221.19,28329,147.185.221.0/24,report-dust.gl.at.ply.gg,ply.gg,2024-04-16
njrat,3.124.142.205,10869,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-04-15
njrat,3.125.223.134,10869,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-04-15
njrat,3.125.102.39,10869,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-04-15
lokibot,91.92.254.199,80,91.92.240.0/20,tequilacofradiamx.com,tequilacofradiamx.com,2024-04-15
njrat,5.39.43.50,8096,5.39.0.0/17,,,2024-04-15
njrat,41.248.119.194,10000,41.248.0.0/17,doddyfire.linkpc.net,linkpc.net,2024-04-14
njrat,3.127.138.57,17170,3.120.0.0/13,2.tcp.eu.ngrok.io,ngrok.io,2024-04-14
redline,4.185.137.132,1632,4.160.0.0/11,,,2024-04-14
njrat,18.156.13.209,14095,18.156.0.0/14,2.tcp.eu.ngrok.io,ngrok.io,2024-04-14
njrat,18.197.239.5,14095,18.192.0.0/13,2.tcp.eu.ngrok.io,ngrok.io,2024-04-14
njrat,3.126.37.18,14095,3.120.0.0/13,2.tcp.eu.ngrok.io,ngrok.io,2024-04-14
njrat,41.249.48.248,10000,41.249.0.0/17,doddyfire.linkpc.net,linkpc.net,2024-04-14
recordbreaker,195.20.16.155,80,195.20.16.0/24,,,2024-04-13
njrat,46.147.123.30,5552,46.147.120.0/21,,,2024-04-13
njrat,147.185.221.18,56522,147.185.221.0/24,having-jackson.gl.at.ply.gg,ply.gg,2024-04-13
njrat,3.125.102.39,15019,3.120.0.0/13,tcp.eu.ngrok.io,ngrok.io,2024-04-13
njrat,18.192.31.165,15640,18.192.0.0/13,tcp.eu.ngrok.io,ngrok.io,2024-04-13
njrat,3.125.223.134,17231,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-04-13
njrat,18.192.31.165,17231,18.192.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-04-13
njrat,136.243.179.5,1414,136.243.178.0/23,booksports64.linkpc.net,linkpc.net,2024-04-13
njrat,34.88.143.155,1177,34.88.0.0/14,seznam.zapto.org,zapto.org,2024-04-13
njrat,41.249.108.177,10000,41.249.0.0/17,doddyfire.linkpc.net,linkpc.net,2024-04-13
lokibot,185.215.113.67,26260,185.215.113.0/24,blesblochem.com,blesblochem.com,2024-04-13
lokibot,185.172.128.33,8970,185.172.128.0/24,blesblochem.com,blesblochem.com,2024-04-13
lokibot,4.185.137.132,1632,4.160.0.0/11,blesblochem.com,blesblochem.com,2024-04-13
njrat,46.246.14.8,1994,46.246.12.0/22,rusia.duckdns.org,duckdns.org,2024-04-12
njrat,104.238.137.229,6363,104.238.128.0/18,powerup.dynuddns.net,dynuddns.net,2024-04-12
njrat,179.13.0.175,5556,179.12.0.0/14,newintento777.duckdns.org,duckdns.org,2024-04-12
njrat,179.13.2.154,5050,179.12.0.0/14,auyametemplanza.duckdns.org,duckdns.org,2024-04-12
njrat,179.13.2.154,5050,179.12.0.0/14,parahoyestsidio.duckdns.org,duckdns.org,2024-04-12
njrat,46.246.6.20,5050,46.246.4.0/22,asegurar1s.duckdns.org,duckdns.org,2024-04-12
njrat,5.39.43.50,6136,5.39.0.0/17,,,2024-04-11
njrat,46.246.14.23,1994,46.246.12.0/22,rusia.duckdns.org,duckdns.org,2024-04-11
njrat,179.13.0.175,5557,179.12.0.0/14,liverpool777.duckdns.org,duckdns.org,2024-04-11
njrat,179.13.2.154,5050,179.12.0.0/14,estesidiosplat.duckdns.org,duckdns.org,2024-04-11
redline,5.42.65.0,29587,5.42.64.0/22,,,2024-04-11
njrat,179.13.0.175,5557,179.12.0.0/14,promesasalvaro1.duckdns.org,duckdns.org,2024-04-11
redline,207.32.216.126,30685,207.32.216.0/22,,,2024-04-11
redline,34.31.226.230,37144,34.16.0.0/12,,,2024-04-10
njrat,179.13.0.175,5557,179.12.0.0/14,firmes777.duckdns.org,duckdns.org,2024-04-10
redline,45.61.141.168,35228,45.61.140.0/23,,,2024-04-10
lokibot,104.21.48.81,80,104.21.0.0/17,dsbr.cam,dsbr.cam,2024-04-10
redline,62.122.184.51,6017,62.122.184.0/24,,,2024-04-09
njrat,179.13.0.175,5554,179.12.0.0/14,newintento777.duckdns.org,duckdns.org,2024-04-09
njrat,46.246.82.18,1994,46.246.64.0/18,patria.duckdns.org,duckdns.org,2024-04-09
njrat,179.13.0.175,5554,179.12.0.0/14,firmes777.duckdns.org,duckdns.org,2024-04-09
nanocore,103.151.123.225,1664,103.151.122.0/23,tzitziklishop4.ddns.net,ddns.net,2024-04-09
njrat,89.117.23.25,35888,89.117.16.0/21,njnjnjs.duckdns.org,duckdns.org,2024-04-09
redline,2.58.56.216,38382,2.58.56.0/24,,,2024-04-09
njrat,35.157.111.131,13306,35.156.0.0/14,7.tcp.eu.ngrok.io,ngrok.io,2024-04-08
njrat,3.126.224.214,13306,3.120.0.0/13,7.tcp.eu.ngrok.io,ngrok.io,2024-04-08
njrat,3.124.67.191,13306,3.120.0.0/13,7.tcp.eu.ngrok.io,ngrok.io,2024-04-08
nanocore,200.217.111.70,54984,200.216.0.0/15,appdiscordgg.duckdns.org,duckdns.org,2024-04-08
njrat,3.68.56.232,13306,3.64.0.0/12,7.tcp.eu.ngrok.io,ngrok.io,2024-04-08
njrat,3.125.188.168,13306,3.120.0.0/13,7.tcp.eu.ngrok.io,ngrok.io,2024-04-08
njrat,3.67.15.169,13306,3.64.0.0/12,7.tcp.eu.ngrok.io,ngrok.io,2024-04-08
njrat,105.154.228.255,10000,105.154.0.0/16,doddyfire.linkpc.net,linkpc.net,2024-04-08
njrat,18.192.93.86,14391,18.192.0.0/13,2.tcp.eu.ngrok.io,ngrok.io,2024-04-08
njrat,179.13.0.175,5555,179.12.0.0/14,firmes777.duckdns.org,duckdns.org,2024-04-08
nanocore,192.169.69.26,8234,192.169.68.0/22,hhjhtggfr.duckdns.org,duckdns.org,2024-04-08
njrat,94.131.122.80,5009,94.131.120.0/22,billions.ooguy.com,ooguy.com,2024-04-08
njrat,41.142.31.190,10000,41.142.0.0/17,doddyfire.linkpc.net,linkpc.net,2024-04-07
njrat,18.198.77.177,14620,18.192.0.0/13,4.tcp.eu.ngrok.io,ngrok.io,2024-04-07
njrat,52.28.112.211,12117,52.24.0.0/13,4.tcp.eu.ngrok.io,ngrok.io,2024-04-07
nanocore,209.73.100.130,6969,209.73.96.0/19,j0k3r420.ddnsking.com,ddnsking.com,2024-04-07
nanocore,192.169.69.25,7654,192.169.68.0/22,netwomo.duckdns.org,duckdns.org,2024-04-07
njrat,160.178.39.123,10000,160.176.0.0/14,doddyfire.linkpc.net,linkpc.net,2024-04-06
redline,185.125.50.49,48860,185.125.50.0/24,,,2024-04-06
lokibot,91.92.253.221,80,91.92.240.0/20,,,2024-04-06
lokibot,104.21.39.208,80,104.21.0.0/17,altaskifer.sbs,altaskifer.sbs,2024-04-06
njrat,193.161.193.99,8080,193.161.193.0/24,wasted9sss1-57718.portmap.host,portmap.host,2024-04-05
njrat,179.13.0.175,5554,179.12.0.0/14,promesasalvaro1.duckdns.org,duckdns.org,2024-04-05
njrat,147.185.221.18,18746,147.185.221.0/24,,,2024-04-05
njrat,179.13.0.175,5553,179.12.0.0/14,promesasalvaro1.duckdns.org,duckdns.org,2024-04-05
njrat,46.246.84.18,5050,46.246.64.0/18,asegurar1s.duckdns.org,duckdns.org,2024-04-05
lokibot,104.198.2.251,80,104.198.0.0/15,jyiikm.xyz,jyiikm.xyz,2024-04-05
njrat,147.185.221.18,38122,147.185.221.0/24,links-annually.gl.at.ply.gg,ply.gg,2024-04-05
redline,46.29.234.85,35727,46.29.234.0/23,,,2024-04-05
redline,147.45.45.81,30063,147.45.45.0/24,,,2024-04-05
njrat,35.158.159.254,11464,35.156.0.0/14,4.tcp.eu.ngrok.io,ngrok.io,2024-04-05
njrat,18.192.31.165,18511,18.192.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-04-05
njrat,18.192.31.165,14390,18.192.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-04-05
njrat,18.158.249.75,14390,18.156.0.0/14,0.tcp.eu.ngrok.io,ngrok.io,2024-04-05
njrat,105.155.169.10,10000,105.155.128.0/18,doddyfire.linkpc.net,linkpc.net,2024-04-05
njrat,3.125.223.134,10543,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-04-05
njrat,3.125.102.39,10468,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-04-05
njrat,179.13.0.175,5552,179.12.0.0/14,newnano-shel.duckdns.org,duckdns.org,2024-04-05
njrat,46.246.84.9,3030,46.246.64.0/18,njpantalla.4cloud.click,4cloud.click,2024-04-05
njrat,105.154.98.75,10000,105.154.0.0/16,doddyfire.linkpc.net,linkpc.net,2024-04-05
nanocore,192.169.69.25,58887,192.169.68.0/22,kgentle77.duckdns.org,duckdns.org,2024-04-05
